obsname,well_id,layer,row,col,land_elev_m,SWL_m,obs_head_m
obs_000154,5711288,0,784,1042,175.86929321,4.899988119506836,170.96930509049315
obs_000155,31000002924,0,490,415,183.29063416,2.4384,180.85223416
obs_000156,51000007077,0,803,585,259.94958496,8.5344,251.41518495999998
obs_000157,75000010149,0,1071,610,256.71002197,2.4384,254.27162197
obs_000158,7110506,0,606,1096,270.31686401,0.0,270.31686401
obs_000159,5706462,0,819,1060,251.64118958,6.999983193969727,244.64120638603026
obs_000160,179814,0,1124,840,174.1030426,0.762,173.3410426
obs_000161,NX721,0,771,439,175.50770569,18.288,157.21970568999998
obs_000162,242468,0,1115,588,245.79492188,7.62,238.17492188
obs_000163,50230,0,1111,658,310.74490356,9.4488,301.29610356
obs_000164,37000004481,0,900,686,216.4440918,0.0,216.4440918
obs_000165,4408546,0,985,1035,213.93774414,7.599981454467774,206.33776268553223
obs_000166,06000002127,0,849,763,176.59230042,0.3048,176.28750042
obs_000167,61000004197,0,878,593,304.65032959,9.7536,294.89672959
obs_000168,356301,0,1157,589,260.28640747,13.716000000000001,246.57040746999996
obs_000169,5721404,0,810,1070,217.84112549,2.39999435005188,215.4411311399481
obs_000170,256594,0,1145,545,244.48963928,14.630400000000002,229.85923928
obs_000171,RO654,0,624,314,492.79653931,4.2672,488.52933931
obs_000172,VG386,0,621,283,492.27957153,11.277600000000001,481.00197153
obs_000173,61000003718,0,915,547,174.32685852,11.8872,162.43965852
obs_000174,4512962,0,815,1213,282.45245361,15.79996233215332,266.6524912778467
obs_000175,7105734,0,803,1068,204.14700317,0.0,204.14700317
obs_000176,37000001983,0,885,661,263.07113647,0.0,263.07113647
obs_000177,258601,0,1105,568,226.24949646,5.486400000000001,220.76309645999999
obs_000178,61000004197,0,930,567,207.18165588,9.7536,197.42805588
obs_000179,46000005522,0,1071,751,220.00547791,1.8288000000000002,218.17667791
obs_000180,63000042451,0,991,787,330.00964355,4.8768,325.13284355
obs_000181,7221631,0,892,1071,194.14442444,0.0,194.14442444
obs_000182,CK166,0,813,326,285.56884766,8.5344,277.03444766
obs_000183,SF103,0,623,294,494.32073975,2.1336,492.18713975
obs_000184,44066,0,1115,551,263.27789307,13.411200000000001,249.86669307
obs_000185,5722040,0,819,1071,208.1665802,14.599964648437501,193.5666155515625
obs_000186,415238,0,1121,619,279.03164673,3.048,275.98364673
obs_000187,386622,0,1101,584,233.28536987,6.4008,226.88456987
obs_000188,ED239,0,810,363,245.07498169,0.0,245.07498169
obs_000189,247649,0,1098,651,296.50161743,1.2192,295.28241743
obs_000190,45000004917,0,754,596,186.06561279,19.5072,166.55841278999998
obs_000191,31000000343,0,518,366,362.57275391,0.0,362.57275391
obs_000192,40502,0,1107,483,196.62846375,7.62,189.00846375
obs_000193,54000006269,0,896,630,306.22897339,6.096,300.13297339
obs_000194,61000004197,0,954,557,188.29466248,9.7536,178.54106248
obs_000195,7182927,0,773,1065,215.3132782,0.0,215.3132782
obs_000196,42000000611,0,462,410,185.65777588,27.432000000000002,158.22577588000001
obs_000197,63000001203,0,1015,773,289.49856567,3.6576000000000004,285.84096567
obs_000198, ,0,1103,1032,314.97692871,3.048,311.92892871
obs_000199,412323,0,1147,527,216.28768921,3.048,213.23968921
obs_000200,70000008604,0,979,558,175.97836304,7.010400000000001,168.96796304
obs_000201,1913664,0,795,1120,223.85954285,5.7999860916137695,218.05955675838624
obs_000202,62000009892,0,871,591,269.53118896,4.572,264.95918896
obs_000203,FL512,0,1003,381,269.60223389,7.62,261.98223389
obs_000204,FO513,0,796,278,314.05706787,9.144,304.91306787
obs_000205,48970,0,1098,557,249.75874329,19.812,229.94674329
obs_000206,37000008887,0,886,661,265.40301514,0.3048,265.09821514
obs_000207,5720513,0,826,1092,229.36567688,12.79996986694336,216.56570701305662
obs_000208,03000003315,0,1013,567,196.65675354,2.7432000000000003,193.91355354
obs_000209,3700032,0,815,1293,76.88228607,5.19998724975586,71.68229882024414
obs_000210,2048657,0,1132,941,291.21792603,3.5052000000000003,287.71272603
obs_000211,62244,0,1112,473,189.87724304,2.4384,187.43884304
obs_000212,KW180,0,838,262,278.74749756,6.4008,272.34669756
obs_000213,251383,0,1104,522,247.7852478,9.144,238.6412478
obs_000214,39000020080,0,1034,596,255.40281677,3.6576000000000004,251.74521676999998
obs_000215,4103334,0,960,968,269.71252441,13.69996725769043,256.01255715230957
obs_000216,7045979,0,844,1138,115.78192139,0.0,115.78192139
obs_000217,102181,0,1195,537,252.20463562,0.0,252.20463562
obs_000218,39000019766,0,1051,619,265.83084106,0.3048,265.52604106
obs_000219,56000002041,0,901,709,200.83633423,1.8288000000000002,199.00753423
obs_000220,103003,0,1155,639,257.5383606,7.62,249.91836059999997
obs_000221,7104925,0,855,1097,215.69094849,0.0,215.69094849
obs_000222,7226185,0,561,970,270.52819824,0.0,270.52819824
obs_000223,7179539,0,853,1134,80.88658142,0.0,80.88658142
obs_000224,62930,0,1105,585,256.37081909,16.4592,239.91161909
obs_000225,44129,0,1102,548,233.57173157,12.192,221.37973157
obs_000226,7173394,0,942,1003,302.38562012,0.0,302.38562012
obs_000227,25000006984,0,983,759,277.20526123,6.096,271.10926123
obs_000228,7107342,0,872,1110,106.77589417,0.0,106.77589417
obs_000229,891309,0,1204,822,298.80355835,5.9436,292.85995835
obs_000230,61000004197,0,813,597,298.28820801,9.7536,288.53460801
obs_000231,US572,0,777,298,335.75061035,8.8392,326.91141035
obs_000232,53000003461,0,846,541,185.19702148,1.423416,183.77360548
obs_000233,26000012588,0,833,710,254.42930603,2.4384,251.99090603
obs_000234,227042,0,1126,626,287.02972412,4.572,282.45772412
obs_000235,199312,0,1106,626,280.61010742,14.630400000000002,265.97970742
obs_000236,2033266,0,1122,938,208.04208374,0.0,208.04208374
obs_000237,2516608,0,784,983,280.74282837,0.0,280.74282837
obs_000238,45000008228,0,724,606,197.1721344,2.7432000000000003,194.4289344
obs_000239,1100579,0,579,729,181.04432678,0.0,181.04432678
obs_000240,7141313,0,872,1109,109.32493591,0.0,109.32493591
obs_000241,315755,0,1214,588,243.71266174,0.0,243.71266174
obs_000242,AY053,0,794,280,318.12643433,7.315200000000001,310.81123433
obs_000243,3303742,0,1089,889,173.79400635,9.399976817321777,164.39402953267822
obs_000244,6926454,0,850,1122,173.06629944,0.0,173.06629944
obs_000245,TL307,0,942,387,302.72665405,22.555200000000003,280.17145404999997
obs_000246,25000007586,0,982,753,264.91876221,7.62,257.29876221
obs_000247,3309863,0,1025,893,182.69503784,0.0,182.69503784
obs_000248,08000013604,0,1006,628,283.72146606,12.192,271.52946606
